OBJECTID_1,OBJECTID,Fire_Name,Fire_Year,Cause,Acres,Perimeter,Shape_Leng,Complex,Fire_Num,Label,Agency,TOT_ACRES_,Shape_Le_1,Shape_STArea_1,Shape_STLength_1,time_,comments,unit_id,fire,inc_num,Shape__Area,Shape__Length
497,41,Cottonwood,2017,,1407.24339645742,,11405.1242183,,249,,BLM,1407.23902295,,,,, ,MT/MCFO,,,5694894.31138611,11406.5990350301
498,43,Cow Pond,2017,,25.7415864602797,,1365.06625943,,97,,BLM,25.74150656,,,,, ,MT/MCFO,,,104172.179473877,1365.03468750344
499,44,Coyote,2017,,730.831081454292,,10361.2073282,,264,,BLM,730.82880277,,,,, ,MT/MCFO,,,2957559.23246765,10362.7715960447
500,45,Cracker Box,2017,,246.045280896023,,5518.87742298,,208,,BLM,246.04451884,,,,, ,MT/MCFO,,,995706.838562012,5519.05103211796
501,46,Crow Rock,2017,,7729.71067966814,,35568.2811619,,149,,BLM,7729.68690633,,,,, ,MT/MCFO,,,31280933.1218719,35558.6044643641
502,48,Daily,2017,,7.69647614825035,,938.4661347,,46,,BLM,7.69645201,,,,, ,MT/MCFO,,,31146.4371948242,938.49604859811
503,49,Daily Double,2017,,5.29869406981607,,808.65095607,,279,,BLM,5.29867916,,,,, ,MT/MCFO,,,21442.9872589111,808.529503030879
504,50,Danny,2017,,15.8966105489129,,1210.74029888,,596,,BLM,15.89656427,,,,, ,MT/MCFO,,,64331.1048583984,1210.37572593567
505,51,Divide,2017,,83.0233665881394,,2839.55418664,,597,,BLM,83.02310777,,,,, ,MT/MCFO,,,335982.58303833,2838.69035880941
506,53,Doonan,2017,,864.737663126508,,9904.44585613,,504,,BLM,864.7349689,,,,, ,MT/MCFO,,,3499458.24040222,9904.22785721927
507,54,Double E,2017,,12.8740341958688,,1093.86669769,,226,,BLM,12.8739938,,,,, ,MT/MCFO,,,52099.2061462402,1094.35696719402
508,55,Downey,2017,,8.72159161128717,,1078.65571444,,210,,BLM,8.72156336,,,,, ,MT/MCFO,,,35294.9161529541,1078.24896852886
509,56,Dry Creek,2017,,9.29936956652059,,1008.33059582,,231,,BLM,9.29934083,,,,, ,MT/MCFO,,,37633.0955276489,1008.8200909252
510,57,Dry Lake,2017,,38.9131160547425,,1707.60244917,,267,,BLM,38.91299585,,,,, ,MT/MCFO,,,157475.304862976,1707.8432243795
511,58,Dud,2017,,1137.18177532671,,10313.1333624,,435,,BLM,1137.17824775,,,,, ,MT/MCFO,,,4601997.07907104,10310.9224036627
512,59,Dunbar,2017,,232.151453770794,,5293.91130519,,560,,BLM,232.14944553,,,,, ,MT/MCFO,,,939482.081787109,5293.14766550921
513,60,Dutch,2017,,48.5188748364465,,2019.19647185,,591,,BLM,48.51871956,,,,, ,MT/MCFO,,,196348.316040039,2019.20654092162
514,61,East-Rosebud,2017,,16.907733132292,,1274.34605494,,139,,CTY,16.90766948,,,,,Fireworks,MT/LG29,,,68422.9197692871,1274.89638585024
515,62,East Fork,2017,,16.7594206704534,,1529.55632553,,283,,BLM,16.75936814,,,,, ,MT/MCFO,,,67822.7583770752,1529.65678553758
516,63,Edwards,2017,,1052.54651349563,,13325.6173931,,492,,BLM,1052.54312332,,,,, ,MT/MCFO,,,4259490.8789978,13325.9932080994
517,64,Elk,2017,,8.54097355857271,,979.61371879,,98,,BLM,8.5409472,,,,, ,MT/MCFO,,,34563.9865875244,979.985033053319
518,67,1026,2017,,8043.34636432536,,37397.0492779,,486,,BLM,8043.32148592,,,,, ,MT/MCFO,,,32550167.3247223,37396.0614979404
519,68,212,2017,,11.1319527480769,,896.84344117,,257,,BLM,11.13191729,,,,, ,MT/MCFO,,,45049.2782592773,896.79170979525
520,69,3X,2017,,7.06124431887613,,728.20342995,,232,,BLM,7.06122184,,,,, ,MT/MCFO,,,28575.7527618408,728.243589564287
521,71,First Creek,2017,,13.409377907909,,1793.74285046,,33,,BLM,13.40933478,,,,, ,MT/MCFO,,,54265.6514892578,1793.605849944
522,72,Flowing,2017,,4.65935904866342,,744.36814616,,373,,BLM,4.65934533,,,,, ,MT/MCFO,,,18855.7002258301,744.398279399032
523,73,Fort,2017,,0.0641569138238416,,75.12300545,,303,,BLM,0.06415683,,,,, ,MT/MCFO,,,259.632873535156,75.1213264791279
524,76,Glenn Gulch,2017,,0.682217884870103,,242.8107305,,62,,BLM,0.68221586,,,,, ,MT/MCFO,,,2760.82923126221,242.826756856794
525,77,Gooseberry,2017,,9.72788525032794,,997.44982007,,481,,BLM,9.72785492,,,,, ,MT/MCFO,,,39367.231918335,997.531501645147
526,78,Graveyard-Rosebud,2017,,0.127254711523556,,99.1132684,,409,,CTY,0.12725427,,,,, ,MT/LG29,,,514.97998046875,99.0935325211865
527,79,Griffin-Rosebud,2017,,13.9233239527423,,1103.11805462,,146,,CTY,13.9232811,,,,, ,MT/LG29,,,56345.5176544189,1103.12566188487
528,80,Gumbo Butte-Rosebud,2017,,45.276729031898,,3255.1965001,,81,,CTY,45.27659118,,,,, ,MT/LG29,,,183227.861282349,3254.88049838871
529,81,Halbert,2017,,8.23280422984269,,924.50984579,,266,,BLM,8.23277956,,,,, ,MT/MCFO,,,33316.8727111816,924.843169281781
530,82,Hammond Valley-Rosebud,2017,,2.852753914863,,576.30062902,,328,,CTY,2.85274463,,,,, ,MT/LG29,,,11544.6490325928,576.111975599017
531,83,Harrington,2017,,2.50318037188519,,436.68884652,,399,,BLM,2.50317232,,,,, ,MT/MCFO,,,10129.9800338745,436.674349680303
532,84,Hart,2017,,166.670757025378,,3391.46047072,,577,,BLM,166.67023545,,,,, ,MT/MCFO,,,674490.507049561,3391.54755776854
533,85,Hathaway,2017,,0.681614260740701,,265.96474491,,128,,DNRC,0.681612,,,,,Arson,MT/EAS,,,2758.38604736328,265.976734641351
534,86,Hay Creek,2017,,1.00059971887183,,308.20341972,,37,,BLM,1.00059646,,,,, ,MT/MCFO,,,4049.27082061768,308.255232805635
535,88,Hendrickson Coulee,2017,,7.81814773517481,,1138.33373638,,400,,BLM,7.81811913,,,,, ,MT/MCFO,,,31638.8183898926,1138.39427505055
536,89,Hidden Valley-Rosebud,2017,,3.02989811320568,,592.55585536,,414,,CTY,3.02988863,,,,,Coal Seam,MT/LG29,,,12261.5244140625,592.598550168837
537,90,High Point,2017,,17.7358845928103,,1260.26563067,,99,,BLM,17.73582986,,,,, ,MT/MCFO,,,71774.35597229,1260.43726754397
538,91,Horse Creek,2017,,72.0201358126559,,2465.95298006,,64,,BLM,72.01991006,,,,, ,MT/MCFO,,,291454.246032715,2465.68080733525
539,92,Horton,2017,,88.5114305180958,,2934.66994328,,051,,DNRC,88.51116345,,,,, ,MT/EAS,,,358191.948638916,2934.54785712272
540,93,Howard,2017,,371.780308135576,,6343.63504889,,129,,BLM,371.77928889,,,,,Arson,MT/MCFO,,,1504537.44491577,6344.48499449775
541,94,HWY39 MM18-Rosebud,2017,,0.0547462243002332,,138.08778889,,124,,CTY,0.05474605,,,,, ,MT/LG29,,,221.549026489258,138.028614161475
